problem_id,trajectory_position,row_in_problem,score,delta_J,y,mask,pos,probe_type
132,35,0,0.27102321331031193,1.6409319639205933,0,0.5,0.5,struct
132,35,1,0.30994908379012354,2.184005260467531,0,0.1428571428571428,0.125,floor
132,35,2,0.4509946505817241,-1.831168579123915,1,0.8571428571428571,0.0,struct
19,36,0,0.383890470747216,12.589173872334264,0,0.5714285714285714,0.0,struct
19,36,1,0.3602991251860033,-4.357614069245756,1,0.5,0.0,struct
19,36,2,0.22993010453962423,1.7073040008544922,0,0.1666666666666666,0.25,floor
19,36,3,0.2978097089849131,-1.2298773583689986,1,0.25,0.0,struct
19,36,4,0.28459643801366974,2.088342802865167,0,0.1428571428571428,0.0,floor
19,36,5,0.359837264215655,35.29593169751266,0,0.5,0.0,struct
19,36,6,0.2812412623783153,4.993013381958008,0,0.2857142857142857,0.125,struct
14,37,0,0.3320251622648423,3.339279890060425,0,0.4285714285714285,0.125,struct
14,37,1,0.3184173854182184,-3.485708369407803,1,0.5,0.25,struct
14,37,2,0.3255028329532177,6.886752128601074,0,0.8333333333333334,0.25,struct
14,37,3,0.4023376990340079,6.881728172302246,0,0.75,0.0,struct
14,37,4,0.35107666234371476,-1.8128126436578391,1,0.5,0.0,struct
274,38,0,0.2963772185824147,4.487018585205078,0,0.8333333333333334,0.25,struct
274,38,1,0.18231224668158255,4.586346626281738,0,0.5,0.5,struct
274,38,2,0.40047320923969554,13.844256401062012,0,0.75,0.0,struct
274,38,4,0.43490813961064956,2.3082079887390137,0,0.5714285714285714,0.0,struct
274,38,5,0.3867602170575194,14.135199546813965,0,0.8,0.375,struct
20,39,1,0.39895441868922366,4.7090667088826486,0,0.2857142857142857,0.0,struct
328,40,0,0.45663056193660084,4.390666643778484,0,0.8,0.0,struct
328,40,2,0.2936784134003472,7.858335971832275,0,0.1666666666666666,0.25,floor
328,40,3,0.3127126193155092,14.023327827453612,0,0.6666666666666666,0.25,struct
328,40,4,0.34496581327975145,14.32851219177246,0,0.8333333333333334,0.25,struct
328,40,5,0.3535675601276115,7.153823852539063,0,0.6666666666666666,0.25,struct
328,40,6,0.42158152477724126,7.53547191619873,0,0.8571428571428571,0.125,struct
278,41,0,0.3889588402965381,6.42848014831543,0,0.7142857142857143,0.125,struct
278,41,1,0.440083974058815,-3.826000146878261,1,0.8571428571428571,0.0,struct
278,41,2,0.3702361761632402,13.617759704589844,0,0.8571428571428571,0.125,struct
